,Date,Open,High,Low,Close,Volume
0,2025-08-04,8325.0,8350.0,8275.0,8275.0,49054500
1,2025-08-05,8350.0,8450.0,8325.0,8425.0,69475900
2,2025-08-06,8425.0,8425.0,8300.0,8300.0,56325400
