Date,Predicted_Close
2025-08-01,8362.384475155348
2025-08-02,8288.80407353634
2025-08-03,8288.80407353634
2025-08-04,8288.80407353634
2025-08-05,8288.80407353634
2025-08-06,8288.80407353634
2025-08-07,8288.80407353634
2025-08-08,8288.80407353634
2025-08-09,8288.80407353634
2025-08-10,8288.80407353634
2025-08-11,8288.80407353634
2025-08-12,8288.80407353634
2025-08-13,8288.80407353634
2025-08-14,8288.80407353634
2025-08-15,8288.80407353634
2025-08-16,8288.80407353634
2025-08-17,8288.80407353634
2025-08-18,8288.80407353634
2025-08-19,8288.80407353634
2025-08-20,8288.80407353634
2025-08-21,8288.80407353634
2025-08-22,8288.80407353634
2025-08-23,8288.80407353634
2025-08-24,8288.80407353634
2025-08-25,8288.80407353634
2025-08-26,8288.80407353634
2025-08-27,8288.80407353634
2025-08-28,8288.80407353634
2025-08-29,8288.80407353634
2025-08-30,8288.80407353634
