Date,Predicted_Close
2025-08-01,8367.394941656514
2025-08-02,8293.934481892175
2025-08-03,8345.184684549118
2025-08-04,8305.012246554536
2025-08-05,8347.068497394645
2025-08-06,8324.36410132994
2025-08-07,8353.744311193006
2025-08-08,8337.76694726343
2025-08-09,8357.613746134
2025-08-10,8343.045028050024
2025-08-11,8354.75256657796
2025-08-12,8345.827677581408
2025-08-13,8352.443282006516
2025-08-14,8346.960256878161
2025-08-15,8350.70464856397
2025-08-16,8347.483878386936
2025-08-17,8349.489189018359
2025-08-18,8347.552834117005
2025-08-19,8348.65996150338
2025-08-20,8347.393359793523
2025-08-21,8348.149402054794
2025-08-22,8347.145359857379
2025-08-23,8347.69046724437
2025-08-24,8346.893445801268
2025-08-25,8347.292088202954
2025-08-26,8346.665468941714
2025-08-27,8346.957024990748
2025-08-28,8346.477034276806
2025-08-29,8346.702476753146
2025-08-30,8346.344227100974
