Date,Open,High,Low,Close,Volume
2020-01-02,5825.277714887542,5899.235684382007,5812.226308506166,5820.92724609375,49445000
2020-01-03,5873.133006376378,5916.6376953125,5851.380661908318,5916.6376953125,47755500
2020-01-06,5847.02964922049,5873.13246015451,5820.92683828647,5860.0810546875,27300000
2020-01-07,5860.081172048868,5890.534452081788,5855.730703472737,5864.431640625,45022500
2020-01-08,5803.525136981895,5868.782166258304,5803.525136981895,5812.22607421875,53692500
2020-01-09,5864.431640625,5877.483046353394,5855.730703472737,5864.431640625,40363500
2020-01-10,5886.18362932737,5938.389249099674,5838.328477869423,5851.3798828125,73362000
2020-01-13,5864.4307820607855,5881.8326538176425,5860.080314121571,5868.78125,67855000
2020-01-14,5868.78270809168,5990.595840653998,5864.432239071597,5977.54443359375,93582000
2020-01-15,5977.544101762528,6142.8619153483905,5916.637538862473,5947.0908203125,75623500
2020-01-16,5920.98835680885,5994.946330406022,5912.287418738594,5960.142578125,88931500
2020-01-17,5951.44125,5994.9459375,5916.6375,5981.89453125,38249500
2020-01-20,6047.151602219733,6068.90394611261,5942.740351533925,5947.0908203125,93554500
2020-01-21,5990.594405569409,5999.2953415252105,5938.388789834599,5942.7392578125,103984500
2020-01-22,5964.491834138569,5999.29557934142,5947.089961537144,5951.4404296875,94311500
2020-01-23,5990.5946430407075,5999.29557934142,5942.739493386787,5951.4404296875,87728000
2020-01-24,5934.038827321953,5986.244447503671,5925.337890625,5925.337890625,69653500
2020-01-27,5973.192770439282,6038.449792694627,5929.688088935718,5951.4404296875,39679000
2020-01-28,5947.090250411336,5955.791187134688,5877.482756624517,5907.93603515625,82615000
2020-01-29,5916.638322126013,5955.792546316553,5890.535505998987,5903.5869140625,43821000
2020-01-30,5955.791480723758,5955.791480723758,5855.730703472737,5864.431640625,71990000
2020-01-31,5916.637520495756,5920.987989260826,5638.20751953125,5638.20751953125,163136500
2020-02-03,5638.207558957686,5729.567403663019,5542.4972454568615,5603.40380859375,149797000
2020-02-04,5716.516326349432,5760.021016808712,5673.011635890151,5742.619140625,113316500
2020-02-05,5899.234660858562,5899.234660858562,5786.12249184505,5855.72998046875,123002500
