Date,Open,High,Low,Close,Volume,lag_close_1,lag_close_2,lag_close_3,roll_mean_5,roll_std_5,roll_mean_10,roll_std_10,target
2020-01-16,5920.987871735288,5994.945839273495,5912.286934377851,5960.14208984375,88931500,5947.09033203125,5977.54443359375,5868.78173828125,5901.84580078125,56.606343588973424,5878.352978515625,52.95774277501101,5981.89453125
2020-01-17,5951.44125,5994.9459375,5916.6375,5981.89453125,38249500,5960.14208984375,5947.09033203125,5977.54443359375,5920.987890625,56.972915623087374,5892.274609375,54.46115880620328,5947.09033203125
2020-01-20,6047.15110572307,6068.903447829988,5942.739863609866,5947.09033203125,93554500,5981.89453125,5960.14208984375,5947.09033203125,5947.090625,45.9384610699661,5898.800390625,61.197785164246554,5942.74072265625
2020-01-21,5990.595882209119,5999.296820309641,5938.3902536059895,5942.74072265625,103984500,5947.09033203125,5981.89453125,5960.14208984375,5962.75234375,16.451746957713127,5907.501318359375,61.266440163050014,5951.44140625
2020-01-22,5964.492812842654,5999.296563756397,5947.090937385782,5951.44140625,94311500,5942.74072265625,5947.09033203125,5981.89453125,5955.7916015625,15.984674767511928,5915.3322265625,60.14406542670982,5951.44140625
2020-01-23,5990.595626027961,5999.296563756397,5942.740468521564,5951.44140625,87728000,5951.44140625,5942.74072265625,5947.09033203125,5956.66181640625,15.50374993447197,5929.25380859375,48.63762433511492,5925.337890625
2020-01-24,5934.038827321953,5986.244447503671,5925.337890625,5925.337890625,69653500,5951.44140625,5951.44140625,5942.74072265625,5954.9216796875,15.50374993447197,5937.95478515625,43.23562395223113,5951.44140625
2020-01-27,5973.193750571089,6038.450783534357,5929.689061928911,5951.44140625,39679000,5925.337890625,5951.44140625,5951.44140625,5943.6103515625,10.832822603635076,5945.35048828125,31.519041444379283,5907.9365234375
2020-01-28,5947.090741928618,5955.791679371088,5877.483242388854,5907.9365234375,82615000,5951.44140625,5925.337890625,5951.44140625,5944.48056640625,11.344921400472892,5953.616455078125,16.438820910750017,5903.5859375
2020-01-29,5916.637343404568,5955.791561118275,5890.534531595431,5903.5859375,43821000,5907.9365234375,5951.44140625,5925.337890625,5937.5197265625,20.03124141127668,5946.6556640625,19.61205802458608,5864.431640625
2020-01-30,5955.791480723758,5955.791480723758,5855.730703472737,5864.431640625,71990000,5903.5859375,5907.9365234375,5951.44140625,5927.9486328125,22.93829890634791,5942.305224609375,23.86826008463536,5638.20703125
